area_id,phase,lon,lat,altitude_m,direct_margin_db,R01,R02
S003,service_descent,109.1688578,23.0402714,338.5,-5.277229687361654,-6.321520172964512,-14.915975050088804
S004,service_descent,109.2381714,23.0778414,238.2964215446921,-5.835978265774202,-9.890829656500642,-9.504628758779361
S004,service_descent,109.2381714,23.0778414,228.3,-5.835854399120308,-9.891803318206073,-9.505668947206033
S008,service_descent,109.2127472,23.0795113,289.4471513227983,-6.235392347529228,-8.916712964020803,-12.115104126335353
S008,service_descent,109.2127472,23.0795113,280.1735756613991,-6.235224458061623,-8.917707919081153,-12.115568332834627
S008,service_descent,109.2127472,23.0795113,270.9,-6.2350679180936055,-8.918727016489271,-12.116044161240765
S014,service_descent,109.2835966,23.0052097,360.6378955078125,-2.7263511177087025,-12.42568553935645,-5.546223092115412
S014,service_descent,109.2835966,23.0052097,351.0,-2.725756927867195,-12.426060023536678,-5.547990689010831
