mission_id,uav_id,uav_type,battery_id,area_id,cargo_ids,start_min,delivery_min,end_min,deadline_min,on_time,energy_kwh,soc_after,charge_min,reference_energy_kwh,reference_hor_kwh,reference_up_kwh,exact_cruise_altitude_m,reference_duration_min,reference_delivery_offset_min,reference_soc,reference_energy_feasible,official_range_m,audited_weight_kg,audited_volume_m3,load_ok,volume_ok,area_ok,code_energy_kwh,code_duration_min,code_delivery_offset_min,code_matches_energy,exponent_only_energy_kwh,code_dem_max,exact_dem_max,dem_underestimate_m,reference_delivery_min,reference_end_min
1,UC01,C,C-BAT-01,S001,"S001-WAT-01,S001-WAT-02,S001-WAT-03,S001-WAT-04,S001-WAT-05,S001-MED-01,S001-MED-02",0.0,20.89825141136788,26.19033615606908,60,True,2.558913341842037,0.6801358322697454,25.43953939025919,2.926268947310332,2.822444227717665,0.10382471959266663,273.0566101074219,26.02376962529071,20.81496814597869,0.6342163815862085,True,13036.763521404078,76.0,0.15900000000000003,True,True,True,2.558913341842037,26.19033615606908,20.898251411367877,True,2.519035079944645,228.60882780002137,223.05661010742188,-5.552217692599498,20.81496814597869,26.02376962529071
2,UC02,C,C-BAT-02,S002,"S002-WAT-01,S002-WAT-02,S002-WAT-03,S002-WAT-04,S002-MED-01",0.0,23.70077832331209,34.05455664662419,60,True,5.151810515822099,0.3560236855222376,37.14358913391919,5.871629979599107,5.759539656542314,0.11209032305679323,308.9542541503906,34.083445954086756,23.71522297704338,0.2660462525501116,True,17133.115065734753,59.0,0.12,True,True,True,5.151810515822099,34.054556646624185,23.70077832331209,True,4.893450958541131,257.9912772349467,258.9542541503906,0.9629769154439032,23.71522297704338,34.083445954086756
3,UC01,C,C-BAT-03,S001,"S001-WAT-06,S001-WAT-07,S001-WAT-08",26.19033615606908,42.68858756743695,47.98067231213816,60,True,2.066398756230736,0.741700155471158,23.21638327465262,2.2130972953398844,2.1279771450895133,0.08512015025037131,273.0566101074219,21.623769625290713,16.41496814597869,0.7233628380825144,True,20674.41904577538,42.0,0.081,True,True,True,2.0663987562307358,21.79033615606908,16.49825141136787,True,1.963461413842096,228.60882780002137,223.05661010742188,-5.552217692599498,42.60530430204777,47.81410578135979
4,UA01,A,A-BAT-01,S006,"S006-WAT-01,S006-MED-01",0.0,15.56128209955562,21.83045308800013,60,True,1.106805665390136,0.7540431854688587,13.66239764817473,1.3095840119304463,1.217496191621761,0.09208782030868531,366.09783935546875,21.876916390998236,15.584513751054672,0.7089813306821231,True,22196.28817457999,17.0,0.039,True,True,True,1.1068056653901357,21.830453088000127,15.56128209955562,True,1.092562969270906,314.19706786913923,316.09783935546875,1.9007714863295178,15.584513751054672,21.876916390998236
5,UB01,B,B-BAT-01,S007,"S007-WAT-01,S007-WAT-02",0.0,17.67022540924516,26.08578415182364,60,True,1.60089897336792,0.5997752566580201,22.67315925210164,1.878779072600995,1.7033073843825604,0.17547168821843465,511.9731750488281,26.269836802539658,17.76225173460316,0.5303052318497512,True,17179.772029511885,28.0,0.054,True,True,True,1.6008989733679195,26.08578415182364,17.670225409245155,True,1.581808763356029,454.4437484285723,461.9731750488281,7.529426620255833,17.76225173460316,26.269836802539658
6,UB02,B,B-BAT-02,S010,"S010-WAT-01,S010-MED-01",0.0,17.01750341526321,24.7837846083042,60,True,1.424415898434041,0.6438960253914898,21.39855926646807,1.6342227468356214,1.517981927021999,0.11624081981362237,435.63653564453125,24.90952265212967,17.080372437175946,0.5914443132910947,True,22881.14596157825,17.0,0.039,True,True,True,1.4244158984340407,24.7837846083042,17.01750341526321,True,1.3714218258881328,380.4927065790109,385.63653564453125,5.143829065520322,17.080372437175946,24.90952265212967
7,UA02,A,A-BAT-02,S013,"S013-WAT-01,S013-MED-01",0.0,18.04073685958943,26.83036260806776,60,True,1.637365079674389,0.6361410934056912,16.21694297621002,1.9577455011361022,1.8557750688618135,0.1019704322742886,399.18182373046875,26.867056531743135,18.059083821427123,0.5649454441919772,True,22196.28817457999,17.0,0.039,True,True,True,1.637365079674389,26.830362608067762,18.040736859589433,True,1.6156555740896252,347.68070867097833,349.18182373046875,1.5011150594904166,18.059083821427123,26.867056531743135
8,UA03,A,A-BAT-03,S012,"S012-WAT-01,S012-MED-01",0.0,22.2385339731365,35.146067946273,60,True,2.471325003399136,0.4508166659113031,20.23230557192176,2.961062090388767,2.8316535200671544,0.1294085703216129,413.3009948730469,35.173578047250366,22.252289023625185,0.34198620213582953,True,22196.28817457999,17.0,0.039,True,True,True,2.4713250033991363,35.146067946273,22.238533973136498,True,2.438199330498639,362.1755816511898,363.3009948730469,1.125413221857059,22.252289023625185,35.173578047250366
9,UA04,A,A-BAT-04,S014,"S014-WAT-01,S014-MED-01",0.0,21.21667202957535,33.18145517026183,60,True,1.974536954059142,0.5612140102090795,17.84036311213661,2.287650601257854,2.0709531517568163,0.21669744950103761,591.9473876953125,33.149351756169224,21.200620322529055,0.4916331997204769,True,22196.28817457999,17.0,0.039,True,True,True,1.9745369540591424,33.18145517026183,21.216672029575353,True,1.950310220028588,543.2607091808592,541.9473876953125,-1.3133214855466804,21.200620322529055,33.149351756169224
10,UA01,A,A-BAT-05,S006,S006-WAT-02,21.83045308800013,36.39173518755575,42.66090617600025,60,True,1.092476706316119,0.757227398596418,13.59340636374428,1.2869317340706565,1.1975507225629864,0.0893810115076701,366.09783935546875,20.876916390998236,14.584513751054672,0.7140151702065207,True,22904.67186340659,14.0,0.027,True,True,True,1.0924767063161194,20.830453088000127,14.56128209955562,True,1.0766065940238845,314.19706786913923,316.09783935546875,1.9007714863295178,36.4149668390548,42.707369478998366
