k,group,areas,missions,completion_min,A_uav,A_battery,B_uav,B_battery,C_uav,C_battery
2,G1,S001,5,116.2806170241165,2,2,1,1,1,2
2,G2,"S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015",40,182.2643138933139,4,6,2,4,2,4
3,G1,S001,5,116.2806170241165,2,2,1,1,1,2
3,G2,"S002,S003,S004,S005,S007,S008,S009,S010,S012,S013,S014,S015",33,182.2643138933139,4,6,2,4,2,4
3,G3,"S006,S011",7,171.884453886225,2,2,0,0,1,1
