trip_id,area_id,uav_type,cargo_count,cargo_ids,total_weight_kg,total_volume_m3,energy_kwh,flight_time_min,delivery_time_min,operation_time_min,total_time_min,dem_max_ground_m,cruise_altitude_m,usable_energy_kwh,energy_margin_kwh,equivalent_range_km,range_margin_km,feasible,reference_energy_kwh,reference_hor_kwh,reference_up_kwh,exact_cruise_altitude_m,reference_duration_min,reference_delivery_offset_min,reference_soc,reference_energy_feasible,official_range_m,audited_weight_kg,audited_volume_m3,load_ok,volume_ok,area_ok,code_energy_kwh,code_duration_min,code_delivery_offset_min,code_matches_energy,exponent_only_energy_kwh,code_dem_max,exact_dem_max,dem_underestimate_m
1,S001,C,6,"S001-WAT-01,S001-WAT-02,S001-WAT-03,S001-WAT-04,S001-WAT-05,S001-FOD-01",78,0.163,2.602663744421941,10.49033615606908,19.79825141136788,14.6,25.09033615606908,228.6088278000214,278.6088278000213,6.4,3.79733625557806,12.35,6.223185810138405,True,3.004693884669541,2.8997688962920334,0.10492498837750754,273.0566101074219,24.92376962529071,19.714968145978688,0.6244132644163074,True,12521.704948325252,78.0,0.163,True,True,True,2.6026637444219407,25.090336156069082,19.798251411367875,True,2.5808948148041426,228.60882780002137,223.05661010742188,-5.552217692599498
2,S001,C,9,"S001-WAT-06,S001-WAT-07,S001-WAT-08,S001-FOD-02,S001-FOD-03,S001-HYG-01,S001-HYG-02,S001-MED-01,S001-MED-02",76,0.231,2.558913341842037,10.49033615606908,23.09825141136787,17.9,28.39033615606908,228.6088278000214,278.6088278000213,6.4,3.841086658157963,12.7,6.573185810138405,True,2.926268947310332,2.822444227717665,0.10382471959266663,273.0566101074219,28.22376962529071,23.01496814597869,0.6342163815862085,True,13036.763521404078,76.0,0.231,True,True,True,2.558913341842037,28.39033615606908,23.09825141136787,True,2.519035079944645,228.60882780002137,223.05661010742188,-5.552217692599498
3,S002,C,4,"S002-FOD-02,S002-WAT-01,S002-WAT-02,S002-MED-01",39,0.094,4.597693179653722,20.55455664662418,22.60077832331209,12.4,32.95455664662418,257.9912772349467,307.9912772349467,6.4,1.802306820346279,19.175,4.3044635033818,True,5.187321479974839,5.088951096989152,0.09837038298568727,308.9542541503906,32.983445954086754,22.61522297704338,0.3515848150031451,True,21234.703085063848,39.0,0.094,True,True,True,4.597693179653722,32.954556646624184,22.600778323312092,True,4.356980110898577,257.9912772349467,258.9542541503906,0.9629769154439032
4,S002,C,4,"S002-WAT-03,S002-WAT-04,S002-HYG-01,S002-FOD-01",42,0.117,4.667552074381116,20.55455664662418,22.60077832331209,12.4,32.95455664662418,257.9912772349467,307.9912772349467,6.4,1.732447925618884,18.65,3.779463503381798,True,5.265292334190683,5.16486396019433,0.10042837399635315,308.9542541503906,32.983445954086754,22.61522297704338,0.34183845822616465,True,20674.41904577538,42.0,0.11699999999999999,True,True,True,4.667552074381116,32.954556646624184,22.600778323312092,True,4.417710401462723,257.9912772349467,258.9542541503906,0.9629769154439032
5,S003,C,4,"S003-WAT-03,S003-WAT-04,S003-MED-01,S003-HYG-01",37,0.101,4.855922808999017,25.84784125293697,25.14825395980182,12.4,38.24784125293696,506.8380016939101,556.8380016939101,6.4,1.544077191000984,19.525,5.002868918092302,True,5.158598782521431,4.923890401001859,0.23470838151957196,561.8041381835938,38.396825347627974,25.22274600714732,0.3551751521848211,True,21596.5239227969,37.0,0.101,True,True,True,4.855922808999017,38.247841252936965,25.148253959801817,True,4.627628341634685,506.8380016939101,511.80413818359375,4.966136489683663
6,S003,C,4,"S003-FOD-01,S003-FOD-02,S003-WAT-01,S003-WAT-02",44,0.11,5.015244272559334,25.84784125293697,25.14825395980182,12.4,38.24784125293696,506.8380016939101,556.8380016939101,6.4,1.384755727440666,18.3,3.777868918092304,True,5.343363821540544,5.097154694971177,0.2462091265693665,561.8041381835938,38.396825347627974,25.22274600714732,0.332079522307432,True,20289.52716493634,44.0,0.11,True,True,True,5.015244272559334,38.247841252936965,25.148253959801817,True,4.766239776810134,506.8380016939101,511.80413818359375,4.966136489683663
7,S004,C,6,"S004-WAT-01,S004-WAT-02,S004-WAT-03,S004-FOD-01,S004-HYG-01,S004-MED-01",59,0.156,5.550639695234253,24.00481639236927,26.5185748628513,14.6,38.60481639236927,354.4085654677184,404.4085654677184,6.4,0.8493603047657476,15.675,0.1836965144960576,True,6.176910742379443,5.999970261771244,0.17694048060819842,398.2391662597656,38.41973441613011,26.426033874731722,0.22788615720256966,True,17133.115065734753,59.0,0.15600000000000003,True,True,True,5.550639695234253,38.604816392369266,26.518574862851302,True,5.281494980036509,354.4085654677184,348.2391662597656,-6.169399207952779
8,S005,C,6,"S005-WAT-01,S005-WAT-02,S005-WAT-03,S005-FOD-01,S005-HYG-01,S005-MED-01",59,0.156,3.810300010374756,16.58406934873169,22.83595134103251,14.6,31.18406934873169,271.4106221652575,321.4106221652575,6.4,2.589699989625244,15.675,5.07097438460343,True,4.238774367770389,4.1070680983673125,0.1317062694030762,326.410888671875,31.334077343929764,22.910955338631545,0.4701532040287014,True,17133.115065734753,59.0,0.15600000000000003,True,True,True,3.810300010374756,31.18406934873169,22.835951341032512,True,3.626066484972834,271.41062216525745,276.410888671875,5.00026650661755
9,S006,C,6,"S006-WAT-01,S006-WAT-02,S006-WAT-03,S006-FOD-01,S006-HYG-01,S006-MED-01",59,0.156,2.385831232362612,11.35736517925556,20.12276592296111,14.6,25.95736517925555,314.1970678691392,364.1970678691392,6.4,4.014168767637388,15.675,9.312942171136761,True,2.593975881039886,2.4641023792842773,0.12987350175560847,366.09783935546875,26.014388323844596,20.15127749525563,0.6757530148700143,True,17133.115065734753,59.0,0.15600000000000003,True,True,True,2.3858312323626123,25.957365179255554,20.12276592296111,True,2.275297329000437,314.19706786913923,316.09783935546875,1.9007714863295178
10,S007,C,5,"S007-WAT-01,S007-WAT-02,S007-FOD-01,S007-HYG-01,S007-MED-01",45,0.129,3.283377375745959,18.06547164309348,22.34873582154674,13.5,31.56547164309348,454.4437484285723,504.4437484285723,6.4,3.116622624254041,18.125,9.057356728787317,True,3.41044340570795,3.200089442525882,0.2103539631820679,511.9731750488281,31.791354441699816,22.461677220849907,0.5736945742865063,True,20093.75,45.0,0.129,True,True,True,3.283377375745959,31.565471643093485,22.348735821546743,True,3.1265232429866963,454.4437484285723,461.9731750488281,7.529426620255833
