area,weight,volume,lower_bound
S001,154.0,0.39400000000000013,2
S002,81.0,0.211,2
S003,81.0,0.211,2
S004,59.0,0.156,1
S005,59.0,0.156,1
S006,59.0,0.156,1
S007,45.0,0.129,1
S008,45.0,0.129,1
S009,25.0,0.067,1
S010,25.0,0.067,1
S011,25.0,0.067,1
S012,25.0,0.067,1
S013,25.0,0.067,1
S014,25.0,0.067,1
S015,25.0,0.067,1
