area_id,uav_type,cargo_ids,cargo_count,energy_kwh,duration_min,delivery_offset_min,mission_id,uav_id,battery_id,start_min,delivery_min,end_min,deadline_min,on_time,soc_after,charge_min,reference_energy_kwh,reference_hor_kwh,reference_up_kwh,exact_cruise_altitude_m,reference_duration_min,reference_delivery_offset_min,reference_soc,reference_energy_feasible,official_range_m,audited_weight_kg,audited_volume_m3,load_ok,volume_ok,area_ok,code_energy_kwh,code_duration_min,code_delivery_offset_min,code_matches_energy,exponent_only_energy_kwh,code_dem_max,exact_dem_max,dem_underestimate_m,reference_delivery_min,reference_end_min
S001,C,"S001-WAT-01,S001-WAT-02,S001-WAT-03,S001-WAT-04,S001-WAT-05,S001-MED-01,S001-MED-02",7,2.558913341842037,26.19033615606908,20.89825141136788,1,UC01,C-BAT-01,0.0,20.89825141136788,26.19033615606908,60,True,0.6801358322697454,25.43953939025919,2.926268947310332,2.822444227717665,0.10382471959266663,273.0566101074219,26.02376962529071,20.81496814597869,0.6342163815862085,True,13036.763521404078,76.0,0.15900000000000003,True,True,True,2.558913341842037,26.19033615606908,20.898251411367877,True,2.519035079944645,228.60882780002137,223.05661010742188,-5.552217692599498,20.81496814597869,26.02376962529071
S001,C,"S001-WAT-06,S001-WAT-07,S001-WAT-08",3,2.066398756230736,21.79033615606908,16.49825141136787,2,UC02,C-BAT-02,0.0,16.49825141136787,21.79033615606908,60,True,0.741700155471158,23.21638327465262,2.2130972953398844,2.1279771450895133,0.08512015025037131,273.0566101074219,21.623769625290713,16.41496814597869,0.7233628380825144,True,20674.41904577538,42.0,0.081,True,True,True,2.0663987562307358,21.79033615606908,16.49825141136787,True,1.963461413842096,228.60882780002137,223.05661010742188,-5.552217692599498,16.41496814597869,21.623769625290713
S002,C,"S002-WAT-01,S002-WAT-02,S002-WAT-03,S002-WAT-04,S002-MED-01",5,5.151810515822099,34.05455664662419,23.70077832331209,3,UC02,C-BAT-03,21.79033615606908,45.49111447938117,55.84489280269327,60,True,0.3560236855222376,37.14358913391919,5.871629979599107,5.759539656542314,0.11209032305679323,308.9542541503906,34.083445954086756,23.71522297704338,0.2660462525501116,True,17133.115065734753,59.0,0.12,True,True,True,5.151810515822099,34.054556646624185,23.70077832331209,True,4.893450958541131,257.9912772349467,258.9542541503906,0.9629769154439032,45.505559133112456,55.87378211015584
S006,C,"S006-WAT-01,S006-WAT-02,S006-WAT-03,S006-MED-01",4,2.210270206337731,23.75736517925555,17.92276592296111,4,UC01,C-BAT-04,26.19033615606908,44.11310207903019,49.94770133532464,60,True,0.7237162242077837,23.86580301471892,2.362494819245154,2.2452530918942832,0.11724172735087077,366.09783935546875,23.814388323844597,17.95127749525563,0.7046881475943558,True,20093.75,45.0,0.093,True,True,True,2.210270206337731,23.757365179255554,17.922765922961112,True,2.100217899088421,314.19706786913923,316.09783935546875,1.9007714863295178,44.14161365132471,50.004724479913676
S007,A,"S007-WAT-01,S007-MED-01",2,1.629423413491632,28.60457394938271,18.92962030802469,5,UA01,A-BAT-01,0.0,18.92962030802469,28.60457394938271,60,True,0.6379059081129708,16.17870532421897,1.905098466063566,1.7352594784034758,0.16983898766009015,511.9731750488281,28.788626600098404,19.021646633382538,0.5766447853192076,True,22196.28817457999,17.0,0.039,True,True,True,1.6294234134916317,28.604573949382715,18.929620308024692,True,1.6091237414195634,454.4437484285723,461.9731750488281,7.529426620255833,19.021646633382538,28.788626600098404
S007,A,S007-WAT-02,1,1.609000793511423,27.60457394938271,17.92962030802469,6,UA02,A-BAT-02,0.0,17.92962030802469,27.60457394938271,60,True,0.6424442681085727,16.08037419098092,1.8723077073054009,1.7068318213203444,0.16547588598505655,511.9731750488281,27.788626600098404,18.021646633382538,0.5839316205987999,True,22904.67186340659,14.0,0.027,True,True,True,1.609000793511423,27.604573949382715,17.929620308024692,True,1.5863816157530555,454.4437484285723,461.9731750488281,7.529426620255833,18.021646633382538,27.788626600098404
S010,B,"S010-WAT-01,S010-MED-01",2,1.424415898434041,24.7837846083042,17.01750341526321,7,UB01,B-BAT-01,0.0,17.01750341526321,24.7837846083042,60,True,0.6438960253914898,21.39855926646807,1.6342227468356214,1.517981927021999,0.11624081981362237,435.63653564453125,24.90952265212967,17.080372437175946,0.5914443132910947,True,22881.14596157825,17.0,0.039,True,True,True,1.4244158984340407,24.7837846083042,17.01750341526321,True,1.3714218258881328,380.4927065790109,385.63653564453125,5.143829065520322,17.080372437175946,24.90952265212967
S012,B,"S012-WAT-01,S012-MED-01",2,2.133785964506339,31.03582386731311,20.18341193365655,8,UB02,B-BAT-02,0.0,20.18341193365655,31.03582386731311,60,True,0.4665535088734153,26.52178752143467,2.4717662253724244,2.3502885781206593,0.12147764725176495,413.3009948730469,31.063333968290742,20.197166984145372,0.3820584436568939,True,22881.14596157825,17.0,0.039,True,True,True,2.133785964506339,31.03582386731311,20.183411933656554,True,2.0517353411124937,362.1755816511898,363.3009948730469,1.125413221857059,20.197166984145372,31.063333968290742
S013,B,"S013-WAT-01,S013-MED-01",2,1.416012022961981,24.13664021773454,16.69387566442283,9,UB01,B-BAT-03,24.7837846083042,41.47766027272703,48.92042482603874,60,True,0.6459969942595047,21.33786461028097,1.6362383838363628,1.5403038955852064,0.09593448825115629,399.18182373046875,24.173334141410134,16.712222626260623,0.5909404040409093,True,22881.14596157825,17.0,0.039,True,True,True,1.416012022961981,24.136640217734545,16.69387566442283,True,1.362238671031814,347.68070867097833,349.18182373046875,1.5011150594904166,41.49600723456482,48.95711874971433
S014,B,"S014-WAT-01,S014-MED-01",2,1.72634870069056,30.17539426998255,19.71364157943572,10,UB02,B-BAT-04,31.03582386731311,50.74946544674883,61.21121813729566,60,True,0.5684128248273599,23.57918506054293,1.922255549935962,1.718902932122004,0.20335261781395808,591.9473876953125,30.14329085589024,19.697589872389564,0.5194361125160095,True,22881.14596157825,17.0,0.039,True,True,True,1.7263487006905605,30.17539426998255,19.713641579435716,True,1.6663403006808497,543.2607091808592,541.9473876953125,-1.3133214855466804,50.73341373970267,61.17911472320335
