k,group,areas,missions,completion_min,A_uav,A_battery,B_uav,B_battery,C_uav,C_battery
2,G1,S001,5,94.89764685376998,1,2,1,1,0,0
2,G2,"S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015",38,180.351667415015,4,6,2,4,2,4
3,G1,S001,5,94.89764685376998,1,2,1,1,0,0
3,G2,"S002,S003,S004,S005,S007,S008,S009,S010,S012,S013,S014,S015",33,180.351667415015,4,5,2,4,2,4
3,G3,"S006,S011",5,149.1520072336307,1,1,1,1,0,0
