area_id,uav_type,cargo_ids,cargo_count,energy_kwh,duration_min,delivery_offset_min,mission_id,uav_id,battery_id,start_min,delivery_min,end_min,deadline_min,on_time,soc_after,charge_min,original_start_min,original_delivery_min,original_end_min,communication_mode,communication_available,reference_energy_kwh,reference_hor_kwh,reference_up_kwh,exact_cruise_altitude_m,reference_duration_min,reference_delivery_offset_min,reference_soc,reference_energy_feasible,official_range_m,audited_weight_kg,audited_volume_m3,load_ok,volume_ok,area_ok,code_energy_kwh,code_duration_min,code_delivery_offset_min,code_matches_energy,exponent_only_energy_kwh,code_dem_max,exact_dem_max,dem_underestimate_m,reference_delivery_min,reference_end_min
S001,B,"S001-WAT-01,S001-WAT-02,S001-WAT-03,S001-WAT-04,S001-WAT-05,S001-MED-01,S001-MED-02",7,1.063798065282268,26.19033615606908,20.89825141136788,1,UB01,B-BAT-01,0.0,19.37289355636781,24.30834266829118,60,True,0.734050483679433,18.79409713814971,0.0,19.37289355636781,24.30834266829118,direct,True,-0.0639733824621783,-0.16345087632856897,0.09947749386639067,273.0566101074219,24.17262179136059,19.305033117902518,1.0159933456155446,True,-20386.003485856665,76.0,0.15900000000000003,False,False,True,1.063798065282268,24.308342668291182,19.37289355636781,True,-0.02974772275878368,228.60882780002137,223.05661010742188,-5.552217692599498,19.305033117902518,24.17262179136059
S001,A,"S001-WAT-06,S001-WAT-07,S001-WAT-08",3,1.094364980888028,21.79033615606908,16.49825141136787,2,UA02,A-BAT-02,0.0,16.22383997162636,22.0102354988083,60,True,0.7568077820248827,13.60249805612754,0.0,16.22383997162636,22.0102354988083,direct,True,1.6134492821005542,1.5282404129578098,0.0852088691427443,273.0566101074219,21.874514621877605,16.155979533161023,0.6414557150887658,True,14112.355626674795,42.0,0.081,False,False,True,1.0943649808880278,22.010235498808292,16.223839971626365,True,1.324413412496753,228.60882780002137,223.05661010742188,-5.552217692599498,16.155979533161023,21.874514621877605
S002,C,"S002-WAT-01,S002-WAT-02,S002-WAT-03,S002-WAT-04,S002-MED-01",5,5.151810515822099,34.05455664662419,23.70077832331209,3,UC01,C-BAT-01,9.905674851548365,33.60645317486045,43.96023149817256,60,True,0.3560236855222376,37.14358913391919,9.905674851548365,33.60645317486045,43.96023149817256,R02,True,5.871629979599107,5.759539656542314,0.11209032305679323,308.9542541503906,34.083445954086756,23.71522297704338,0.2660462525501116,True,17133.115065734753,59.0,0.12,True,True,True,5.151810515822099,34.054556646624185,23.70077832331209,True,4.893450958541131,257.9912772349467,258.9542541503906,0.9629769154439032,33.620897828591744,43.989120805635125
S006,A,"S006-WAT-01,S006-WAT-02,S006-WAT-03,S006-MED-01",4,1.149219384249224,23.75736517925555,17.92276592296111,4,UA01,A-BAT-01,0.0,17.56128209955562,23.83045308800013,60,True,0.7446179146112837,13.86661185008885,0.0,17.56128209955562,23.83045308800013,direct,True,1.7974315180527778,1.680080148934617,0.11735136911816067,366.09783935546875,23.876916390998236,17.584513751054672,0.6005707737660494,True,12925.232921501136,45.0,0.093,False,False,True,1.1492193842492238,23.830453088000127,17.56128209955562,True,1.4626301351211954,314.19706786913923,316.09783935546875,1.9007714863295178,17.584513751054672,23.876916390998236
S007,C,"S007-WAT-01,S007-MED-01",2,2.942684673827978,28.60457394938271,18.92962030802469,5,UC02,C-BAT-02,7.323532094892318,26.37226791643906,35.58900373798581,60,True,0.6321644157715027,27.17184054158462,7.323532094892318,26.37226791643906,35.58900373798581,R01,True,3.0373555304354807,2.8677238495537263,0.16963168088175457,511.9731750488281,28.491354441699816,19.161677220849906,0.620330558695565,True,24628.592761977685,17.0,0.039,True,True,True,2.942684673827978,28.265471643093484,19.048735821546742,True,2.860630768608926,454.4437484285723,461.9731750488281,7.529426620255833,26.485209315742225,35.814886536592134
S007,C,S007-WAT-02,1,2.914590701024232,27.60457394938271,17.92962030802469,6,UC02,C-BAT-03,35.58900373798581,53.53773955953255,62.7544753810793,60,True,0.635676162371971,27.04502746990104,37.69706493808898,55.64580075963572,64.86253658118247,R01,True,3.0125605007856904,2.8472919215789694,0.16526857920672103,511.9731750488281,27.391354441699818,18.06167722084991,0.6234299374017886,True,24975.091467495757,14.0,0.027,True,True,True,2.914590701024232,27.165471643093486,17.94873582154674,True,2.844285226229117,454.4437484285723,461.9731750488281,7.529426620255833,53.65068095883572,62.98035817968563
S010,A,"S010-WAT-01,S010-MED-01",2,1.642792520169815,27.43846977573074,18.34484599897648,7,UA03,A-BAT-03,9.905674851548365,28.25052085052485,37.34414462727911,60,True,0.6349349955178188,16.24307509711392,9.905674851548365,28.25052085052485,37.34414462727911,R02,True,1.9525396814901579,1.8288813157094335,0.12365836578072442,435.63653564453125,27.56420781955662,18.40771502088942,0.5661022930021871,True,22196.28817457999,17.0,0.039,True,True,True,1.6427925201698153,27.43846977573074,18.34484599897648,True,1.6213976271122124,380.4927065790109,385.63653564453125,5.143829065520322,28.313389872437785,37.46988267110498
S012,A,"S012-WAT-01,S012-MED-01",2,2.471325003399136,35.146067946273,22.2385339731365,8,UA04,A-BAT-04,9.905674851548365,32.14420882468487,45.05174279782136,60,True,0.4508166659113031,20.23230557192176,9.905674851548365,32.14420882468487,45.05174279782136,R02,True,2.961062090388767,2.8316535200671544,0.1294085703216129,413.3009948730469,35.173578047250366,22.252289023625185,0.34198620213582953,True,22196.28817457999,17.0,0.039,True,True,True,2.4713250033991363,35.146067946273,22.238533973136498,True,2.438199330498639,362.1755816511898,363.3009948730469,1.125413221857059,32.15796387517355,45.07925289879873
S013,A,"S013-WAT-01,S013-MED-01",2,1.637365079674389,26.83036260806776,18.04073685958943,9,UA02,A-BAT-05,22.0102354988083,40.05097235839773,48.84059810687606,60,True,0.6361410934056912,16.21694297621002,22.0102354988083,40.05097235839773,48.84059810687606,R02,True,1.9577455011361022,1.8557750688618135,0.1019704322742886,399.18182373046875,26.867056531743135,18.059083821427123,0.5649454441919772,True,22196.28817457999,17.0,0.039,True,True,True,1.637365079674389,26.830362608067762,18.040736859589433,True,1.6156555740896252,347.68070867097833,349.18182373046875,1.5011150594904166,40.06931932023542,48.87729203055143
S014,A,"S014-WAT-01,S014-MED-01",2,1.974536954059142,33.18145517026183,21.21667202957535,10,UA01,A-BAT-06,23.83045308800013,45.04712511757548,57.01190825826195,60,True,0.5612140102090795,17.84036311213661,23.83045308800013,45.04712511757548,57.01190825826195,R02,True,2.287650601257854,2.0709531517568163,0.21669744950103761,591.9473876953125,33.149351756169224,21.200620322529055,0.4916331997204769,True,22196.28817457999,17.0,0.039,True,True,True,1.9745369540591424,33.18145517026183,21.216672029575353,True,1.950310220028588,543.2607091808592,541.9473876953125,-1.3133214855466804,45.03107341052919,56.97980484416935
