seed,iterations,late,tardiness_min,completion_min,energy_kwh,missions
baseline,0,0,0.0,173.7274031579547,95.20417606584402,43
20260925,40,0,0.0,165.18272797175757,95.20417606584402,43
20260926,40,0,0.0,167.51807243602087,95.20417606584402,43
20260927,40,0,0.0,165.55813294955018,95.20417606584402,43
